date,winner,loser,game,event,winner_score,loser_score
2025-01-06,Nova Esports,Nightfall,CS2,Demo League,13,6
2025-01-06,Meridian,Solstice,CS2,Demo League,13,10
2025-01-06,Nova Esports,Meridian,CS2,Demo League,13,4
2025-01-06,Vertex Gaming,Nova Esports,CS2,Demo League,13,11
2025-01-06,Meridian,Kappa Squad,CS2,Demo League,13,10
2025-01-07,Solstice,Ironclad,CS2,Demo League,13,7
2025-01-07,Zenith Nine,Nightfall,CS2,Demo League,13,2
2025-01-07,Kappa Squad,Zenith Nine,CS2,Demo League,13,9
2025-01-07,Meridian,Zenith Nine,CS2,Demo League,13,6
2025-01-07,Vertex Gaming,Kappa Squad,CS2,Demo League,13,10
2025-01-08,Ironclad,Nova Esports,CS2,Demo League,13,9
2025-01-08,Ironclad,Zenith Nine,CS2,Demo League,13,2
2025-01-08,Meridian,Solstice,CS2,Demo League,13,8
2025-01-08,Nova Esports,Meridian,CS2,Demo League,13,2
2025-01-08,Vertex Gaming,Nova Esports,CS2,Demo League,13,7
2025-01-09,Nova Esports,Meridian,CS2,Demo League,13,11
2025-01-09,Solstice,Ironclad,CS2,Demo League,13,2
2025-01-09,Kappa Squad,Zenith Nine,CS2,Demo League,13,11
2025-01-09,Ironclad,Nightfall,CS2,Demo League,13,2
2025-01-09,Solstice,Zenith Nine,CS2,Demo League,13,7
2025-01-10,Nova Esports,Meridian,CS2,Demo League,13,10
2025-01-10,Solstice,Meridian,CS2,Demo League,13,5
2025-01-10,Nova Esports,Nightfall,CS2,Demo League,13,11
2025-01-10,Nova Esports,Vertex Gaming,CS2,Demo League,13,5
2025-01-10,Meridian,Kappa Squad,CS2,Demo League,13,2
2025-01-11,Vertex Gaming,Meridian,CS2,Demo League,13,10
2025-01-11,Nova Esports,Zenith Nine,CS2,Demo League,13,11
2025-01-11,Kappa Squad,Zenith Nine,CS2,Demo League,13,11
2025-01-11,Meridian,Nightfall,CS2,Demo League,13,5
2025-01-11,Meridian,Nightfall,CS2,Demo League,13,6
2025-01-12,Ironclad,Nightfall,CS2,Demo League,13,3
2025-01-12,Vertex Gaming,Meridian,CS2,Demo League,13,4
2025-01-12,Kappa Squad,Nova Esports,CS2,Demo League,13,6
2025-01-12,Meridian,Nova Esports,CS2,Demo League,13,7
2025-01-12,Meridian,Zenith Nine,CS2,Demo League,13,2
2025-01-13,Solstice,Meridian,CS2,Demo League,13,7
2025-01-13,Meridian,Nova Esports,CS2,Demo League,13,8
2025-01-13,Kappa Squad,Meridian,CS2,Demo League,13,3
2025-01-13,Solstice,Nova Esports,CS2,Demo League,13,5
2025-01-13,Vertex Gaming,Zenith Nine,CS2,Demo League,13,9
2025-01-14,Solstice,Nightfall,CS2,Demo League,13,8
