date,home,away,home_score,away_score,league,odds_1,odds_x,odds_2
2021-08-05,Perpignan FC,Verdun AC,6,0,Ligue Demo,1.47,4.81,5.95
2021-08-06,Albi SC,Quimper FC,0,1,Ligue Demo,2.26,3.65,2.96
2021-08-07,Annecy SC,Quimper FC,6,0,Ligue Demo,1.34,5.6,7.69
2021-08-08,Biarritz OL,Albi SC,2,1,Ligue Demo,1.62,4.03,5.28
2021-08-09,Verdun AC,Biarritz OL,4,4,Ligue Demo,4.31,4.02,1.74
2021-08-10,Tarbes AS,Laval CF,2,2,Ligue Demo,2.45,3.27,2.92
2021-08-12,Chartres SC,Annecy SC,2,1,Ligue Demo,3.56,4.39,1.83
2021-08-13,Tarbes AS,Vannes AC,1,1,Ligue Demo,3.32,4.2,1.94
2021-08-14,Rouen FC,Annecy SC,2,1,Ligue Demo,1.91,4.04,3.51
2021-08-15,Quimper FC,Colmar United,2,2,Ligue Demo,3.6,4.06,1.88
2021-08-16,Biarritz OL,Perpignan FC,1,2,Ligue Demo,1.92,4.64,3.14
2021-08-17,Rouen FC,Colmar United,2,2,Ligue Demo,1.55,5.25,4.52
2021-08-19,Verdun AC,Quimper FC,0,0,Ligue Demo,2.73,3.7,2.39
2021-08-20,Verdun AC,Chartres SC,3,0,Ligue Demo,3.75,3.72,1.93
2021-08-21,Vannes AC,Annecy SC,1,3,Ligue Demo,2.66,4.2,2.27
2021-08-22,Laval CF,Albi SC,1,0,Ligue Demo,1.96,3.83,3.53
2021-08-23,Rouen FC,Verdun AC,0,0,Ligue Demo,1.14,8.66,16.66
2021-08-24,Colmar United,Albi SC,5,2,Ligue Demo,1.46,4.81,6.18
2021-08-26,Tarbes AS,Chartres SC,3,0,Ligue Demo,2.47,3.77,2.6
2021-08-27,Quimper FC,Tarbes AS,1,0,Ligue Demo,2.78,3.3,2.55
2021-08-28,Verdun AC,Albi SC,0,1,Ligue Demo,2.83,3.67,2.33
2021-08-29,Rouen FC,Albi SC,5,1,Ligue Demo,1.2,6.92,12.54
2021-08-30,Tarbes AS,Quimper FC,1,0,Ligue Demo,1.91,3.92,3.61
2021-08-31,Colmar United,Biarritz OL,0,2,Ligue Demo,1.99,4.27,3.14
2021-09-02,Perpignan FC,Vannes AC,0,2,Ligue Demo,2.49,4.75,2.26
2021-09-03,Annecy SC,Biarritz OL,2,1,Ligue Demo,1.47,5.6,5.15
2021-09-04,Biarritz OL,Annecy SC,2,4,Ligue Demo,2.75,4.79,2.07
2021-09-05,Vannes AC,Perpignan FC,1,0,Ligue Demo,1.82,3.86,4.05
2021-09-06,Colmar United,Quimper FC,0,0,Ligue Demo,1.39,5.21,6.85
2021-09-07,Rouen FC,Chartres SC,2,1,Ligue Demo,1.38,6.03,6.15
2021-09-09,Biarritz OL,Verdun AC,5,3,Ligue Demo,1.35,6.58,6.18
2021-09-10,Colmar United,Rouen FC,1,2,Ligue Demo,3.18,3.97,2.05
2021-09-11,Colmar United,Laval CF,0,0,Ligue Demo,1.58,4.78,4.7
2021-09-12,Laval CF,Annecy SC,2,1,Ligue Demo,3.94,4.21,1.77
2021-09-13,Perpignan FC,Biarritz OL,1,1,Ligue Demo,2.12,4.53,2.75
2021-09-14,Chartres SC,Tarbes AS,1,1,Ligue Demo,2.12,3.75,3.15
2021-09-16,Laval CF,Biarritz OL,1,0,Ligue Demo,3.14,3.84,2.1
2021-09-17,Perpignan FC,Tarbes AS,6,0,Ligue Demo,1.8,4.15,3.85
2021-09-18,Vannes AC,Colmar United,1,1,Ligue Demo,1.76,4.27,3.94
2021-09-19,Tarbes AS,Biarritz OL,2,0,Ligue Demo,2.63,4.21,2.29
2021-09-20,Rouen FC,Quimper FC,2,3,Ligue Demo,1.22,7.07,10.73
2021-09-21,Rouen FC,Perpignan FC,2,1,Ligue Demo,1.32,6.7,6.7
2021-09-23,Colmar United,Perpignan FC,4,1,Ligue Demo,1.99,4.56,3.01
2021-09-24,Verdun AC,Perpignan FC,0,1,Ligue Demo,4.15,4.47,1.69
2021-09-25,Verdun AC,Colmar United,0,1,Ligue Demo,4.78,4.31,1.63
2021-09-26,Albi SC,Tarbes AS,1,2,Ligue Demo,2.45,3.97,2.54
2021-09-27,Chartres SC,Verdun AC,3,1,Ligue Demo,1.48,5.01,5.63
2021-09-28,Annecy SC,Laval CF,3,2,Ligue Demo,1.35,5.93,6.86
2021-09-30,Chartres SC,Albi SC,2,1,Ligue Demo,1.71,3.97,4.56
2021-10-01,Colmar United,Chartres SC,6,3,Ligue Demo,1.88,4.38,3.39
2021-10-02,Laval CF,Vannes AC,1,4,Ligue Demo,4.3,4.58,1.66
2021-10-03,Albi SC,Annecy SC,1,3,Ligue Demo,5.43,5.15,1.48
2021-10-04,Biarritz OL,Rouen FC,1,3,Ligue Demo,3.18,5.3,1.81
2021-10-05,Quimper FC,Perpignan FC,1,1,Ligue Demo,2.84,3.39,2.45
2021-10-07,Vannes AC,Chartres SC,3,1,Ligue Demo,1.55,5.38,4.49
2021-10-08,Annecy SC,Colmar United,2,0,Ligue Demo,1.77,4.17,4.02
2021-10-09,Verdun AC,Laval CF,1,0,Ligue Demo,2.93,3.56,2.31
2021-10-10,Annecy SC,Verdun AC,5,1,Ligue Demo,1.19,7.02,13.4
2021-10-11,Chartres SC,Colmar United,2,1,Ligue Demo,2.78,4.11,2.21
2021-10-12,Chartres SC,Biarritz OL,0,1,Ligue Demo,2.66,4.49,2.19
2021-10-14,Albi SC,Verdun AC,1,2,Ligue Demo,2.01,3.64,3.53
2021-10-15,Vannes AC,Laval CF,4,0,Ligue Demo,1.56,4.46,5.24
2021-10-16,Annecy SC,Albi SC,3,1,Ligue Demo,1.26,6.36,9.42
2021-10-17,Colmar United,Verdun AC,2,0,Ligue Demo,1.41,5.16,6.55
2021-10-18,Tarbes AS,Rouen FC,1,3,Ligue Demo,4.24,5.07,1.61
2021-10-19,Perpignan FC,Colmar United,0,2,Ligue Demo,2.39,4.23,2.5
2021-10-21,Annecy SC,Vannes AC,2,1,Ligue Demo,1.97,4.26,3.2
2021-10-22,Laval CF,Perpignan FC,1,1,Ligue Demo,2.99,4.37,2.03
2021-10-23,Quimper FC,Verdun AC,2,0,Ligue Demo,1.82,3.6,4.42
2021-10-24,Albi SC,Perpignan FC,0,0,Ligue Demo,3.16,3.95,2.06
2021-10-25,Laval CF,Colmar United,3,6,Ligue Demo,3.22,3.88,2.06
2021-10-26,Biarritz OL,Laval CF,2,1,Ligue Demo,1.66,4.74,4.11
2021-10-28,Tarbes AS,Annecy SC,0,2,Ligue Demo,3.65,4.43,1.8
2021-10-29,Verdun AC,Annecy SC,3,7,Ligue Demo,7.66,5.31,1.36
2021-10-30,Laval CF,Chartres SC,0,0,Ligue Demo,2.55,3.18,2.88
2021-10-31,Albi SC,Colmar United,0,1,Ligue Demo,3.31,4.13,1.96
2021-11-01,Perpignan FC,Albi SC,1,2,Ligue Demo,1.57,4.77,4.76
2021-11-02,Albi SC,Rouen FC,0,2,Ligue Demo,7.4,5.67,1.34
2021-11-04,Perpignan FC,Rouen FC,0,5,Ligue Demo,4.02,4.34,1.74
2021-11-05,Quimper FC,Annecy SC,2,2,Ligue Demo,5.09,4.37,1.59
2021-11-06,Biarritz OL,Colmar United,1,0,Ligue Demo,2.09,4.23,2.95
2021-11-07,Tarbes AS,Colmar United,2,3,Ligue Demo,2.66,3.51,2.53
2021-11-08,Verdun AC,Rouen FC,0,1,Ligue Demo,8.77,6.44,1.27
2021-11-09,Perpignan FC,Annecy SC,1,1,Ligue Demo,3.29,4.57,1.88
2021-11-11,Verdun AC,Tarbes AS,1,2,Ligue Demo,3.49,3.54,2.06
2021-11-12,Biarritz OL,Chartres SC,2,1,Ligue Demo,1.84,4.36,3.53
2021-11-13,Annecy SC,Perpignan FC,2,1,Ligue Demo,1.73,4.18,4.18
2021-11-14,Quimper FC,Chartres SC,1,2,Ligue Demo,2.87,3.77,2.27
2021-11-15,Laval CF,Quimper FC,1,2,Ligue Demo,2.3,4.26,2.6
2021-11-16,Albi SC,Biarritz OL,1,1,Ligue Demo,4.3,3.77,1.8
2021-11-18,Chartres SC,Quimper FC,2,0,Ligue Demo,1.88,3.99,3.69
